priority_rank,channel_name,channel_id,profile_url,country,market,subscribers,avg_views,email,ras_score,bd_verdict,category,source,outreach_status,reply_status,last_contact_date,notes,comment_score
1,Leo Gravina,UCzReVGqmv40Oa2XqtcMHhvg,https://www.youtube.com/channel/UCzReVGqmv40Oa2XqtcMHhvg,BR,BR,18400,,,71.5,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
2,João Trein,UCqOL9BZkV6SWS5LPnyrCEhQ,https://www.youtube.com/channel/UCqOL9BZkV6SWS5LPnyrCEhQ,BR,BR,46000,,,68.8,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
3,Mister MR - Bitcoin e Criptomoedas,UCQEsK6j3Ztv5N3BxDaO_Ong,https://www.youtube.com/channel/UCQEsK6j3Ztv5N3BxDaO_Ong,BR,BR,20800,,,68.1,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
4,Coinext Criptomoedas,UCBX952rbjhPqv7IJrbJR7tA,https://www.youtube.com/channel/UCBX952rbjhPqv7IJrbJR7tA,BR,BR,37900,,,67,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
5,Daxo Bitcoins e Criptomoedas,UCIj_Qy6I9IjTiVh-OS1K9jg,https://www.youtube.com/channel/UCIj_Qy6I9IjTiVh-OS1K9jg,BR,BR,14900,,,67,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
6,Inicia Crypto,UCLst_s_K7mn2B40smyb3jTg,https://www.youtube.com/channel/UCLst_s_K7mn2B40smyb3jTg,BR,BR,17700,,,66.4,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
7,Dr. Cripto,UC9G2lhm0YV8qmHUAtnLcksg,https://www.youtube.com/channel/UC9G2lhm0YV8qmHUAtnLcksg,BR,BR,14000,,,66.1,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
8,Luki Faria NFT,UC1F5SqcByGw0U3pHyHlivIg,https://www.youtube.com/channel/UC1F5SqcByGw0U3pHyHlivIg,BR,BR,8500,,,64.8,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
9,Crypto Nichols Brasil,UCiCu5Aw3jjuBcitHaDWzkKg,https://www.youtube.com/channel/UCiCu5Aw3jjuBcitHaDWzkKg,BR,BR,11300,,,63.8,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
10,Bitcoin Moment,UCdo5W5KHpRhr8I0PwPeTg5A,https://www.youtube.com/channel/UCdo5W5KHpRhr8I0PwPeTg5A,BR,BR,43500,,,63.7,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
11,INFINITA RENDA,UC-FdYbjWYqgX6YNIgsUBL6A,https://www.youtube.com/channel/UC-FdYbjWYqgX6YNIgsUBL6A,BR,BR,13100,,,62.2,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
12,Crypto Agora,UC4tnlY9R1x_dKbHDidRrIBQ,https://www.youtube.com/channel/UC4tnlY9R1x_dKbHDidRrIBQ,BR,BR,21700,,,61.6,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
13,Café Com Cripto,UC3kgUuT4jNgxyGfKLO2htjw,https://www.youtube.com/channel/UC3kgUuT4jNgxyGfKLO2htjw,BR,BR,22500,,,61.5,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
14,Como Ganhar Dinheiro Online,UCx4oPl_6jq_LlpyVGqW8nOA,https://www.youtube.com/channel/UCx4oPl_6jq_LlpyVGqW8nOA,BR,BR,15400,,,61.3,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
15,Jefferson Almeida,UCA0FkabsOEDCcfpUciLnc9Q,https://www.youtube.com/channel/UCA0FkabsOEDCcfpUciLnc9Q,BR,BR,28600,,,61.2,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
16,Liqi,UCVOWUQu6l71JB5hgkFsRVtQ,https://www.youtube.com/channel/UCVOWUQu6l71JB5hgkFsRVtQ,BR,BR,9940,,,61.2,Good Fit,,nox_uncontacted_merged_2026-06-25; southamerica_crypto_YouTubers_20260622_sorted_redotpay_supported; southamerica_crypto_YouTubers_20260622,not_contacted,,,,
